NDomain	NNode	Time(ms)
1	9	0.172282
1	13	0.164591
1	9	0.162282
1	13	0.252473
1	5	0.183751
1	3	0.160992
1	3	0.156941
1	2	0.200472
1	13	0.477265
1	25	0.918688
1	32	1.16868
1	17	0.482775
1	11	0.227082
4	28	1.19757
4	32	1.35281
4	32	1.20731
4	23	0.806938
1	12	0.188072
1	19	0.603865
1	12	0.230743
1	15	0.425583
1	16	0.476325
1	26	0.773177
4	23	0.932749
4	27	1.01342
4	20	0.738787
4	27	0.942949
4	18	0.531705
4	28	0.880408
4	21	0.537125
4	24	0.567216
4	23	0.570085
4	25	0.525415
1	33	0.532696
4	23	0.614866
4	25	0.636916
4	21	0.541595
4	21	0.529945
4	23	0.479254
4	16	0.413634
1	11	0.225682
1	17	0.634796
1	7	0.204292
1	9	0.129691
1	8	0.137722
1	7	0.137931
1	5	0.136961
1	10	0.164942
1	10	0.160361
1	17	0.398644
4	24	0.892088
4	33	1.08723
4	29	0.973789
4	19	0.492195
4	34	1.18605
4	28	0.782667
4	27	0.773927
4	29	0.849138
4	36	0.929869
4	40	1.17786
3	13	0.308483
1	21	0.298202
1	18	0.214182
1	19	0.554095
1	37	1.29739
1	30	1.2244
1	10	0.240803
1	10	0.290893
4	16	0.570375
1	12	0.219032
1	8	0.408814
4	15	0.321403
4	35	1.52646
4	31	1.37073
4	30	1.47334
4	26	1.28611
4	29	1.16221
4	25	0.95338
4	30	1.10772
4	31	1.22451
2	11	0.529645
4	28	0.779117
1	17	0.297633
1	9	0.364984
1	7	0.171241
1	5	0.154372
1	7	0.149871
1	8	0.207212
1	6	0.158281
1	26	0.926879
4	25	0.988199
4	28	0.954689
4	22	0.773747
4	24	0.833438
4	20	0.688197
4	20	0.589566
1	14	0.258513
4	27	0.550015
4	22	0.484435
4	18	0.360433
1	15	0.199102
1	7	0.123551
1	10	0.117631
1	10	0.187161
1	11	0.153562
1	4	0.148301
1	18	0.455665
1	9	0.186481
1	9	0.174112
1	8	0.169722
1	5	0.163801
1	1	0.194822
1	29	1.18123
4	28	1.05899
4	27	1.08844
4	24	0.877479
1	20	0.497724
4	21	0.593626
4	29	0.863788
4	20	0.497635
1	35	0.910509
1	30	0.761607
1	27	0.582566
1	12	0.211142
4	24	0.734478
4	22	0.585565
4	24	0.634046
1	25	0.627276
4	23	0.596466
4	25	0.614886
4	27	0.604755
4	21	0.457095
4	22	0.492704
1	18	0.411304
4	23	0.461365
4	24	0.456064
4	24	0.417754
4	24	0.526685
4	24	0.376244
4	16	0.290183
1	17	0.142561
1	11	0.128662
1	12	0.132911
1	12	0.116211
1	4	0.134661
4	21	0.464415
4	13	0.371973
4	21	0.592186
2	20	0.251382
1	12	0.113861
1	13	0.139541
1	10	0.126282
1	15	0.115521
1	14	0.113851
1	12	0.114781
1	15	0.112601
1	9	0.112431
1	10	0.112361
2	10	0.226903
1	12	0.145881
1	5	0.113781
1	7	0.109671
1	4	0.112331
1	4	0.138551
2	14	0.354803
1	15	0.106771
1	12	0.112932
1	14	0.114531
1	14	0.110881
1	10	0.109681
1	11	0.131831
1	12	0.121711
1	11	0.129832
1	6	0.122961
1	10	0.120751
1	6	0.121111
1	9	0.201622
1	10	0.180142
2	5	0.261712
4	12	0.310903
2	5	0.250783
1	11	0.187322
1	8	0.143791
1	4	0.213892
1	10	0.171022
1	10	0.157261
1	11	0.151611
1	9	0.145842
1	7	0.144611
1	6	0.141242
1	8	0.142921
