NReq	NNode	NDomain	Time(ms)
1991	10	1	30.0187
1993	10	1	30.2049
1995	10	1	30.1151
1997	10	1	30.2098
1999	10	1	30.836
1	10	31	0.0509
3	10	31	0.01483
5	10	31	0.01674
7	10	31	0.01919
9	10	31	0.02238
11	10	31	0.02706
13	10	31	0.02786
15	10	31	0.03131
17	10	31	0.03252
19	10	31	0.03465
21	10	31	0.04033
23	10	31	0.04144
25	10	31	0.04398
27	10	31	0.04807
29	10	31	0.04891
31	10	31	0.05161
33	10	31	0.05571
35	10	31	0.05254
37	10	31	0.06187
39	10	31	0.06352
41	10	31	0.07115
43	10	31	0.07334
45	10	31	0.07599
47	10	31	0.07974
49	10	31	0.08203
51	10	31	0.08751
53	10	31	0.09239
55	10	31	0.09515
57	10	31	0.10098
59	10	31	0.10406
61	10	31	0.11018
63	10	31	0.11506
65	10	31	0.11787
67	10	31	0.12691
69	10	31	0.12964
71	10	31	0.13527
73	10	31	0.14078
75	10	31	0.14857
77	10	31	0.15272
79	10	31	0.16014
81	10	31	0.163829
83	10	31	0.1683
85	10	31	0.17283
87	10	31	0.17828
89	10	31	0.1884
91	10	31	0.19597
93	10	31	0.19758
95	10	31	0.20379
97	10	31	0.20916
99	10	31	0.22817
101	10	31	0.22153
103	10	31	0.23166
105	10	31	0.23679
107	10	31	0.24159
109	10	31	0.25038
111	10	31	0.25289
113	10	31	0.26489
115	10	31	0.26556
117	10	31	0.279431
119	10	31	0.28897
121	10	31	0.24915
123	10	31	0.27938
125	10	31	0.28863
127	10	31	0.23825
129	10	31	0.30004
131	10	31	0.29971
133	10	31	0.3139
135	10	31	0.31692
137	10	31	0.32131
139	10	31	0.33273
141	10	31	0.34659
143	10	31	0.37849
145	10	31	0.354659
147	10	31	0.36304
149	10	31	0.3741
151	10	31	0.37444
153	10	31	0.38938
155	10	31	0.40016
157	10	31	0.40599
159	10	31	0.41415
161	10	31	0.42255
163	10	31	0.429181
165	10	31	0.4379
167	10	31	0.44641
169	10	31	0.50499
171	10	31	0.46318
173	10	31	0.47832
175	10	31	0.48646
177	10	31	0.496981
179	10	31	0.49718
181	10	31	0.51677
183	10	31	0.51237
185	10	31	0.53
187	10	31	0.53726
189	10	31	0.54676
191	10	31	0.56422
193	10	31	0.44857
195	10	31	0.32592
197	10	31	0.3296
199	10	31	0.332541
201	10	31	0.33881
203	10	31	0.34519
205	10	31	0.34896
207	10	31	0.35433
209	10	31	0.37159
211	10	31	0.36635
213	10	31	0.36999
215	10	31	0.37989
217	10	31	0.39489
219	10	31	0.3912
221	10	31	0.642999
223	10	31	0.702611
225	10	31	0.70369
227	10	31	0.49673
229	10	31	0.42735
231	10	31	0.42695
233	10	31	0.43772
235	10	31	0.4461
237	10	31	0.452401
239	10	31	0.45303
241	10	31	0.46416
243	10	31	0.46545
245	10	31	0.47878
247	10	31	0.48638
249	10	31	0.48929
251	10	31	0.49462
253	10	31	0.50175
255	10	31	0.51224
257	10	31	0.51957
