N	Time(ms)
260	0.00966
260	0.00927
261	0.01266
261	0.01237
261	0.01043
261	0.00974
262	0.02568
262	0.01855
262	0.01433
262	0.019
263	0.0181
263	0.01638
263	0.01403
263	0.01329
264	0.01658
264	0.01575
264	0.01384
264	0.01461
265	0.01694
265	0.01685
265	0.014211
265	0.01331
266	0.01648
266	0.01592
266	0.01392
266	0.01348
267	0.01717
267	0.02241
267	0.01607
267	0.02108
268	0.0174
268	0.016831
268	0.0141
268	0.01357
269	0.01689
269	0.01569
269	0.01412
269	0.01408
270	0.01811
270	0.01679
270	0.01497
270	0.01542
271	0.03567
271	0.02997
271	0.01605
271	0.01522
272	0.0199
272	0.02052
272	0.016701
272	0.01627
273	0.01912
273	0.01754
273	0.01524
273	0.01465
274	0.01934
274	0.01895
274	0.01619
274	0.01494
275	0.01883
275	0.018161
275	0.01544
275	0.0149
276	0.01822
276	0.01737
276	0.01581
276	0.01571
277	0.01854
277	0.01793
277	0.01585
277	0.01479
278	0.019741
278	0.01969
278	0.01655
278	0.01536
279	0.01986
279	0.02136
279	0.01759
279	0.01598
280	0.02067
280	0.02024
280	0.01733
280	0.016841
281	0.02056
281	0.01974
281	0.01724
281	0.01626
282	0.02424
282	0.01844
282	0.01404
282	0.01325
283	0.0171
283	0.01539
283	0.01297
283	0.01297
284	0.01706
284	0.01658
284	0.01358
284	0.014461
285	0.01655
285	0.01712
285	0.01368
285	0.01275
286	0.01618
286	0.01571
286	0.01339
286	0.01334
287	0.01644
287	0.01613
287	0.01374
287	0.01263
288	0.017071
288	0.0158
288	0.01367
288	0.0127
289	0.01642
289	0.02126
289	0.01856
289	0.01678
290	0.02242
290	0.02089
290	0.01821
290	0.016531
291	0.02522
291	0.01981
291	0.01521
291	0.01372
292	0.01747
292	0.01587
292	0.01393
292	0.01226
293	0.02144
293	0.016421
293	0.01358
293	0.01297
294	0.01619
294	0.01467
294	0.01345
294	0.01351
295	0.01633
295	0.01508
295	0.01344
295	0.01297
296	0.01583
296	0.01444
296	0.0133
296	0.013561
297	0.01641
297	0.01587
297	0.01396
297	0.01335
298	0.01621
298	0.01496
298	0.01383
298	0.01303
299	0.02555
299	0.02131
299	0.01597
299	0.01426
300	0.01765
300	0.01847
300	0.01423
300	0.01319
301	0.157261
301	0.02065
301	0.01614
301	0.01411
302	0.01849
302	0.018781
302	0.01503
302	0.01395
303	0.01872
303	0.01847
303	0.01521
303	0.01394
304	0.01815
304	0.01829
304	0.0148
304	0.01401
305	0.04649
305	0.03429
305	0.027571
305	0.02536
306	0.03333
306	0.03129
306	0.02604
306	0.02382
307	0.0323
307	0.031041
307	0.02659
307	0.02451
308	0.03489
308	0.0357
308	0.02892
308	0.02531
309	0.033891
309	0.03926
309	0.02866
309	0.02572
310	0.03433
310	0.03725
310	0.029551
310	0.02748
311	0.03517
311	0.03806
311	0.02954
311	0.02694
312	0.034881
312	0.03619
312	0.02993
312	0.02688
313	0.04241
313	0.03064
313	0.02511
313	0.02294
314	0.02894
314	0.031
314	0.02368
314	0.02143
315	0.02876
315	0.028371
315	0.02336
315	0.02789
316	0.02835
316	0.02938
316	0.02323
316	0.0216
317	0.02893
317	0.028961
317	0.02421
317	0.02314
318	0.03161
318	0.03033
318	0.02521
318	0.02385
319	0.03352
319	0.027281
319	0.02037
319	0.01858
320	0.02374
320	0.02568
320	0.01911
320	0.01746
321	0.01998
321	0.02314
321	0.018
321	0.016201
322	0.02002
322	0.02317
322	0.01779
322	0.01567
323	0.02171
323	0.02211
323	0.01829
323	0.01647
324	0.02434
324	0.029871
324	0.02482
324	0.02245
325	0.03099
325	0.0328
325	0.02607
325	0.02385
326	0.029701
326	0.02982
326	0.02505
326	0.02322
327	0.03369
327	0.028371
327	0.02081
327	0.0223
328	0.02342
328	0.0258
328	0.01945
328	0.01919
329	0.02482
329	0.02201
329	0.019361
329	0.01926
330	0.02291
330	0.02853
330	0.02078
330	0.02278
331	0.03264
331	0.03923
331	0.029121
331	0.02671
332	0.03355
332	0.0354
332	0.02914
332	0.02687
333	0.034001
333	0.03764
333	0.02978
333	0.02779
334	0.03458
334	0.03615
334	0.03039
334	0.028081
335	0.03583
335	0.04206
335	0.03052
335	0.04069
336	0.037181
336	0.04181
336	0.03276
336	0.03137
337	0.04002
337	0.038821
337	0.03221
337	0.03064
338	0.03726
338	0.04237
338	0.03236
338	0.031861
339	0.04237
339	0.03378
339	0.02548
339	0.02427
340	0.031571
340	0.03106
340	0.02495
340	0.0236
341	0.02831
341	0.02721
341	0.02491
341	0.03428
342	0.03869
342	0.03897
342	0.03398
342	0.03352
343	0.039291
343	0.04091
343	0.0345
343	0.03439
344	0.03949
344	0.041161
344	0.03501
344	0.03312
345	0.0444
345	0.032511
345	0.02739
345	0.02697
346	0.03128
346	0.03292
346	0.0269
346	0.02577
347	0.030961
347	0.03121
347	0.02705
347	0.02853
348	0.03126
348	0.02875
348	0.02706
348	0.028201
349	0.04204
349	0.04519
349	0.03717
349	0.03666
350	0.041921
350	0.04597
350	0.03654
350	0.035
351	0.04462
351	0.041361
351	0.03765
351	0.03834
352	0.06178
352	0.04809
352	0.03988
352	0.03942
353	0.04309
353	0.04045
353	0.03624
353	0.03923
354	0.04207
354	0.04286
354	0.03677
354	0.03808
355	0.04266
355	0.04905
355	0.038481
355	0.0374
356	0.063
356	0.05023
356	0.040191
356	0.03951
357	0.04601
357	0.03159
357	0.02902
357	0.031251
358	0.03321
358	0.03426
358	0.02946
