NReq	NNode	NDomain	Time(ms)
20	100	2351	10.1494
20	100	2356	10.0259
20	100	2361	13.5649
20	100	2366	11.5413
20	100	2371	10.7062
20	100	2376	10.6089
20	100	2381	10.4212
20	100	2386	10.3629
20	100	2391	10.6477
20	100	2396	10.3926
20	100	2401	10.5122
20	100	2406	10.3831
20	100	2411	10.5434
20	100	2416	10.5583
20	100	2421	10.4775
20	100	2426	10.3836
20	100	2431	10.3244
20	100	2436	10.4967
20	100	2441	10.5382
20	100	2446	10.7364
20	100	2451	10.5674
20	100	2456	10.7666
20	100	2461	10.6332
20	100	2466	10.4393
20	100	2471	10.911
20	100	2476	10.5559
20	100	2481	11.0482
20	100	2486	10.7366
20	100	2491	10.7753
20	100	2496	10.4661
20	100	2501	11.0326
20	100	2506	10.8676
20	100	2511	10.7746
20	100	2516	10.7382
20	100	2521	10.6239
20	100	2526	11.213
